park_name,park_type,park_prima,geometry,species_count,species_richness
Tatlow Park,Local,Park,"POLYGON ((-123.1700329485889 49.27097300152239, -123.1691970458001 49.27096199808341, -123.1692069735809 49.27065000382721, -123.1688939954285 49.27064596479264, -123.1688980438107 49.27053695892991, -123.1683750207288 49.2705319669194, -123.1683889838617 49.27010503136991, -123.1692260004168 49.27011496013278, -123.1692519824011 49.26936001854828, -123.1700900079621 49.26937002958616, -123.1700329485889 49.27097300152239))",0,0
Tea Swamp Park,Local,Park,"MULTIPOLYGON (((-123.0989789718044 49.25665903155956, -123.0991860141582 49.25666200147426, -123.0991750147103 49.25699800359494, -123.09896797223 49.25699503369756, -123.0988300557357 49.2569929934988, -123.0986910072009 49.25699104428455, -123.0985529794871 49.25698900344278, -123.0985650013561 49.25665299993055, -123.0987030294427 49.25665504079492, -123.0988409436938 49.25665699104797, -123.0989789718044 49.25665903155956)), ((-123.098551048417 49.25704404455482, -123.0988970271234 49.25704896495274, -123.0988850061837 49.2573849682638, -123.0985400456541 49.25738004645358, -123.098551048417 49.25704404455482)))",0,0
Tecumseh Park,Local,Park,"POLYGON ((-123.0708290545462 49.2304679880509, -123.0689709950495 49.23044896697848, -123.0690179787494 49.22905297910408, -123.0708660175546 49.22907101615845, -123.0708290545462 49.2304679880509))",0,0
Templeton Park,Local,Park,"POLYGON ((-123.0596630028043 49.2790160153435, -123.0580040279965 49.2790059772099, -123.0580119733083 49.27756397942346, -123.0596699946568 49.27757599615781, -123.0596630028043 49.2790160153435))",0,0
Braemar Park,Local,Park,"POLYGON ((-123.1246210211793 49.24800703625714, -123.1225100375981 49.24797197145764, -123.1225429913409 49.24723303809414, -123.1245780345609 49.24726800472892, -123.1246470303749 49.24731199753498, -123.1246210211793 49.24800703625714))",0,0
Brewers Park,Local,Park,"POLYGON ((-123.06596900315 49.24803104248401, -123.0656919812161 49.24802904158803, -123.0652379820744 49.24802498246795, -123.0652559477511 49.24730001450132, -123.0657399668119 49.24730504620069, -123.0657390192812 49.24735999642449, -123.0664580212341 49.24736596967971, -123.0664590057862 49.24733898903855, -123.0677159606006 49.24735300868689, -123.067713966824 49.24804900848005, -123.067230053815 49.24804398513589, -123.0664209624442 49.24803402065766, -123.06596900315 49.24803104248401))",0,0
Burrard View Park,Local,Park,"POLYGON ((-123.0517230046104 49.29155295988799, -123.0499110389168 49.29194298809328, -123.0495120337856 49.29199604097885, -123.0495159436183 49.29023901231703, -123.0517269612777 49.29024101133955, -123.0517230046104 49.29155295988799))",2,1
Callister Park,Local,Park,"POLYGON ((-123.046485031808 49.28658196200048, -123.0442749727458 49.28658004198824, -123.0442769672886 49.28576902199386, -123.0464869902194 49.28577103211115, -123.046485031808 49.28658196200048))",0,0
Cambie Park,Local,Park,"POLYGON ((-123.1187929497771 49.22168997209993, -123.1169810367517 49.22165998464785, -123.1170060386106 49.22102601127718, -123.1188599445324 49.22105802389279, -123.1188079985883 49.22130701547133, -123.1187929497771 49.22168997209993))",0,0
Cambridge Park,Local,Park,"POLYGON ((-123.0619758957828 49.2866613568905, -123.0618424014752 49.28681881448983, -123.0615658622285 49.28671780817751, -123.0617346028084 49.28657723784223, -123.0619521079079 49.28634895643723, -123.0623065996192 49.28598049217989, -123.0626421150131 49.28574973219925, -123.0628045634748 49.28585042804189, -123.0627950893598 49.28585593591202, -123.0627760561796 49.28586898680626, -123.0627660876466 49.28587600707172, -123.0627571373105 49.28588194713052, -123.0627381060521 49.28589598707993, -123.0627190730475 49.28590894789537, -123.0627010630181 49.2859229876993, -123.0626921124566 49.28592901782033, -123.0626741012472 49.28594296751398, -123.0626550699387 49.28595700744754, -123.0626370581955 49.28596996721034, -123.0626111195631 49.28599093593253, -123.0626020568029 49.28599795560589, -123.0625840467036 49.28601199538841, -123.0625750980493 49.28601901456118, -123.0625581067087 49.28603296316003, -123.0625411164646 49.28604700276049, -123.062524127042 49.28606194041554, -123.062507136834 49.28607597911087, -123.0624900338736 49.28609001833873, -123.0624651156134 49.28611197497403, -123.0624490344479 49.28612700308322, -123.0624400845304 49.28613393303733, -123.0624241160915 49.28614896060697, -123.0624160745858 49.28615597922832, -123.0624001061315 49.28617100679393, -123.06239206477 49.28617793624441, -123.0623760949283 49.28619296376868, -123.0623610336485 49.28620799079128, -123.0623531067435 49.28621599883311, -123.0623301168102 49.28623795476192, -123.06232207578 49.28624596329907, -123.0623071285233 49.28626099071423, -123.0623001074292 49.28626899817839, -123.062292065827 49.28627601768839, -123.062285046309 49.2862839351207, -123.0622700976559 49.28629896249264, -123.0622560581283 49.28631497838846, -123.0622481292542 49.28632199735954, -123.062234089769 49.28633801235285, -123.062213141429 49.28636095697217, -123.0622061216757 49.28636896446631, -123.0621920821048 49.28638498035219, -123.0621780405931 49.28640000717421, -123.062172040718 49.28640801449522, -123.0621581140755 49.28642393977264, -123.0621450943623 49.28643995548061, -123.0621380745853 49.28644796296949, -123.0621250549154 49.28646397777533, -123.062119056395 49.2864719851298, -123.0620931296487 49.28650401599713, -123.0620811314215 49.28651994059592, -123.0620691335335 49.28653694428499, -123.0620561138148 49.28655295908039, -123.0619758957828 49.2866613568905))",0,0
Camosun Park,Local,Park,"POLYGON ((-123.1984415265707 49.25664369941486, -123.2027985018526 49.25670921959838, -123.2028159540351 49.25675769671428, -123.2028334076254 49.25680617385929, -123.2028657321654 49.25690350161904, -123.2028954608601 49.2570011943951, -123.2029225525202 49.25709920608689, -123.2029470480383 49.25719751884188, -123.2029689198841 49.25729608781403, -123.2029881539319 49.25739489642639, -123.203004751125 49.25749390597485, -123.2030183690986 49.25759066127577, -123.2030300305226 49.25769241788583, -123.2030386844583 49.25779186457519, -123.2030447020962 49.25789138792326, -123.2030463774457 49.25794117987597, -123.2030480528529 49.25799097092556, -123.2030484893641 49.25801715576333, -123.1984048500852 49.25794755768774, -123.1984415265707 49.25664369941486))",4,4
Captain Cook Park,Local,Park,"POLYGON ((-123.0322961000432 49.21798208939664, -123.0321910175475 49.2177708954011, -123.0322046067573 49.21776676981942, -123.0322171011852 49.21776280867691, -123.0322295914433 49.21775884831906, -123.0322419472587 49.21775488696078, -123.0322543016444 49.21775092646259, -123.0322667949605 49.21774687519924, -123.0322792854767 49.2177428247582, -123.0322916415502 49.21773877331686, -123.0323039975641 49.21773472277332, -123.0323163494082 49.21773067301447, -123.0323287051671 49.21772654048414, -123.0323410530482 49.2177224023305, -123.0323532794287 49.21771816804322, -123.0323656273054 49.21771402988669, -123.0323778466012 49.21770979900506, -123.0323900645247 49.2177055680843, -123.0324022782208 49.21770133884748, -123.032414502059 49.21769701529973, -123.0324267157506 49.2176927860601, -123.0324389311339 49.2176884658801, -123.0324510049943 49.21768414810861, -123.0324632307261 49.21767964443833, -123.0324753116622 49.21767532325556, -123.0324873827182 49.21767100630378, -123.0324994697776 49.21766650331602, -123.0325114379188 49.21766214299028, -123.0325236239823 49.21765759407979, -123.0325355709417 49.2176530926363, -123.0325476468012 49.21764859293833, -123.0325595921167 49.21764405271059, -123.0325716740447 49.21763950092798, -123.0325836042091 49.21763500442206, -123.0325955565643 49.21763026799968, -123.0326073870136 49.21762572100123, -123.0326193019064 49.21762114119312, -123.0326312424138 49.21761646119413, -123.0326430484786 49.21761178019531, -123.0326548502585 49.21760710177986, -123.0326666621798 49.21760232905348, -123.0326770340209 49.2175982274507, -123.032690268906 49.21759287951618, -123.0327020681446 49.21758811184196, -123.0327137402867 49.21758324968233, -123.0327254504833 49.2175784363138, -123.0327372116576 49.21757361984308, -123.0327488753422 49.21756876105034, -123.0327605491103 49.21756380884576, -123.0327722099923 49.21755895087426, -123.0327837436629 49.21755400021589, -123.0327954110419 49.21754901900473, -123.0328069517878 49.21754406493534, -123.0328186111227 49.21753905917745, -123.0328301476384 49.21753410679088, -123.0328416760244 49.21752906679717, -123.0328530631535 49.2175239391353, -123.0328645970723 49.21751889839064, -123.0328759884214 49.21751376904088, -123.0328875181675 49.2175087290799, -123.0328989109391 49.21750359886604, -123.0329103024887 49.21749838033443, -123.0329216868049 49.21749325348886, -123.0329329468221 49.21748803133435, -123.0329443383641 49.21748281279904, -123.0329555941511 49.21747759232743, -123.032966847023 49.21747237447709, -123.0329781030703 49.21746706392575, -123.032989360485 49.21746175341092, -123.0330006136721 49.21745644458026, -123.0330117310468 49.21745113471277, -123.0330229887191 49.21744573411697, -123.0330341046037 49.21744042600789, -123.0330452193809 49.21743502778257, -123.0330563429283 49.21742953520866, -123.0330674548453 49.21742413870408, -123.0330784779213 49.21741862894893, -123.0330895558597 49.21741324862298, -123.0331005322818 49.21740776010262, -123.0331115187867 49.21740217817071, -123.0331225516726 49.21739666507784, -123.0331334787906 49.21739111033628, -123.0331444568374 49.21738553177171, -123.0331553004994 49.21737995130891, -123.0331661412464 49.21737437346739, -123.0331769756925 49.21736870086246, -123.0331878164343 49.21736312301867, -123.0331986560682 49.21735745505865, -123.0332095015596 49.21735169537249, -123.0332202053213 49.21734602727409, -123.0332310279932 49.21734021651029, -123.0332417404647 49.2173344549615, -123.0332523214604 49.21732883933356, -123.0332630299663 49.21732298939063, -123.0332737083679 49.21731718095788, -123.0332843024457 49.21731138191415, -123.0332949248676 49.21730550437519, -123.0333054408547 49.21729968155991, -123.0333160036027 49.21729383570777, -123.0333264422235 49.21728789184951, -123.0333370049662 49.21728204599523, -123.0333474364441 49.21727610644251, -123.0333578650643 49.21727016861199, -123.0333683195268 49.21726412699346, -123.0333787296414 49.21725819946177, -123.033389158518 49.21725217155063, -123.0333994530104 49.2172461417417, -123.0334097815881 49.21724009395214, -123.0334200390746 49.21723408474315, -123.0334303338233 49.21722796485373, -123.0334406250824 49.21722185657836, -123.0334507697416 49.21721574426736, -123.0334611850167 49.21720956373208, -123.0334712304912 49.21720350003773, -123.0334813882543 49.21719728989225, -123.0334914070863 49.21719117051128, -123.0335015576489 49.21718496557088, -123.0335115841417 49.21717866172541, -123.0335217389814 49.21717245419826, -123.0335317509294 49.21716624904374, -123.0335416372652 49.21715994764413, -123.0335516537545 49.21715364982553, -123.0335615371724 49.21714735104645, -123.0335715567756 49.21714096142541, -123.033581435963 49.21713466432973, -123.0335913140418 49.21712827711801, -123.0336010633892 49.2171218854619, -123.0336109428326 49.21711549828602, -123.033620683667 49.21710911089806, -123.0336304289879 49.21710263174645, -123.0336401772185 49.21709614997142, -123.0336499122199 49.21708976782552, -123.0336595234728 49.21708319579797, -123.0336691344017 49.21707671474615, -123.0336788697164 49.21707024162073, -123.0336883436677 49.21706367031641, -123.0336979519973 49.21705710090765, -123.0337075417093 49.21705054359742, -123.0337179453941 49.21704331863766, -123.034559964759 49.21645884513359, -123.0348614490862 49.21656938957915, -123.0357222972431 49.21709516041422, -123.0348741649937 49.21791499287483, -123.0347809758519 49.22001105565251, -123.0338361759782 49.22000242558657, -123.032566552261 49.21999084117341, -123.0325869609152 49.21940798340398, -123.0325879748804 49.21939898936473, -123.0325879689985 49.21938999607818, -123.0325879617465 49.21938100275377, -123.0325879559221 49.21937200856767, -123.0325889698287 49.21936301542719, -123.0325889639467 49.21935402214012, -123.0325889581221 49.21934502795365, -123.03258895224 49.21933603466633, -123.032588946358 49.21932704137888, -123.0325890530564 49.21931804758704, -123.0325890461419 49.21930797505976, -123.0325890402599 49.21929898177199, -123.0325890343778 49.219289988484, -123.0325890284957 49.21928099519595, -123.0325890226137 49.21927200190771, -123.0325890167891 49.21926300772018, -123.032589010907 49.21925401443178, -123.032589005025 49.21924502114314, -123.0325889991429 49.21923602785446, -123.0325879748454 49.21922703445692, -123.0325879689636 49.21921804116796, -123.0325879630817 49.21920904787892, -123.0325879560958 49.21919996447487, -123.0325870443221 49.21919097147181, -123.0325870384404 49.21918197818238, -123.0325870326162 49.21917298399352, -123.0325860069646 49.21916300233162, -123.032586002439 49.2191549973053, -123.0325849767881 49.21914501564313, -123.0325849709643 49.21913602145376, -123.0325839452422 49.21912702891633, -123.0325840533113 49.21911803515944, -123.0325830276472 49.21910904172245, -123.0325830220325 49.21909995835482, -123.0325819963116 49.21909096581683, -123.0325819904309 49.21908197252605, -123.0325809661382 49.21907297912633, -123.0325800543683 49.21906398612148, -123.0325800485454 49.21905499193096, -123.0325790228261 49.21904599939241, -123.0325779985347 49.21903700599214, -123.0325769728737 49.21902801255402, -123.0325759485256 49.21901902005266, -123.0325750368152 49.21901002614778, -123.0325750309359 49.21900103285585, -123.0325740041867 49.2189909610764, -123.0325729798975 49.2189819676753, -123.0325719542386 49.21897297423633, -123.0325710424724 49.21896398123005, -123.0325700181844 49.21895498782855, -123.0325689924693 49.21894599528844, -123.0325679681821 49.21893700188669, -123.0325670564173 49.21892800887982, -123.0325660307607 49.21891901544009, -123.0325639866386 49.21891002279052, -123.0325629623532 49.21890102938821, -123.0325620505901 49.21889203638084, -123.0325610249353 49.21888304294055, -123.032558981082 49.21887396021324, -123.0325579554282 49.21886496677265, -123.0325570436668 49.21885597376475, -123.0325560193838 49.21884698036169, -123.0325539752669 49.21883798771081, -123.0325529495574 49.21882899516903, -123.0325510193912 49.21882000205144, -123.0325499937401 49.21881100861009, -123.0325479496259 49.21880201595869, -123.0325470378676 49.21879302294984, -123.0325449938122 49.2187840293988, -123.0325439694758 49.21877503689391, -123.0325420379435 49.21876604373769, -123.0325410125615 49.21875696021836, -123.0325389684514 49.21874796756605, -123.0325370382912 49.21873897444711, -123.0325360125872 49.21872998190383, -123.0325339684792 49.21872098925103, -123.0325320383212 49.21871199613158, -123.0325299942148 49.21870300347851, -123.0325289685703 49.2186940100354, -123.0325270384144 49.21868501691547, -123.0325249943102 49.21867602426195, -123.0325229502067 49.21866703160826, -123.0325210186829 49.21865803845017, -123.032518974581 49.21864904579616, -123.0325170446951 49.2186399625983, -123.0325150005947 49.21863096994394, -123.0325129564952 49.21862197728938, -123.0325110249752 49.21861298413058, -123.0325089808772 49.21860399147567, -123.0325070507289 49.21859499835423, -123.0325050066325 49.21858600569907, -123.0325029625943 49.21857701214451, -123.0325010310206 49.21856801988412, -123.032498986984 49.21855902632925, -123.0324960383078 49.21855102312251, -123.0324939942154 49.21854203046659, -123.0324919501239 49.21853303781035, -123.0324890001542 49.21852404543949, -123.0324869549605 49.21851496266814, -123.0324850248201 49.21850596954507, -123.0324819609624 49.21849697674077, -123.0324800308237 49.21848798361734, -123.0324779867372 49.21847899096029, -123.0324750367737 49.21846999858821, -123.032472992689 49.21846100593068, -123.032470042785 49.21845201265906, -123.0324674771432 49.21844302005645, -123.0324650486683 49.21843501675448, -123.0324619861892 49.21842602398642, -123.0324596620908 49.21841703172687, -123.0324569921528 49.2184080389547, -123.032454399114 49.21839904559684, -123.0324518122371 49.21839006321846, -123.0324490484912 49.21838097057188, -123.0324459846487 49.21837197776486, -123.0324431843265 49.21836298500556, -123.0324406391715 49.21835498209301, -123.0324379732963 49.21834611915292, -123.0324349781329 49.21833699671231, -123.0324320281867 49.21832800433717, -123.032428965721 49.2183190115667, -123.0324260157771 49.21831001919112, -123.0324229519437 49.21830102638248, -123.0324200032969 49.21829302317048, -123.0324170534138 49.21828402989509, -123.0324139895264 49.21827503798505, -123.0324109001765 49.21826618680657, -123.0324075766388 49.21825696253649, -123.0324044235837 49.2182479699726, -123.0324013748297 49.21823897757748, -123.0323985483591 49.21823097412413, -123.0323950453006 49.21822198183305, -123.0323919828491 49.21821298906007, -123.0323885415626 49.21820399666743, -123.0323852581257 49.21819500411603, -123.0323820007034 49.21818700050822, -123.0323787076209 49.21817800859159, -123.0323752869484 49.21816901586458, -123.0323716768593 49.21816002332759, -123.0323681408809 49.21815100940867, -123.032364987755 49.21814302758877, -123.0323611155222 49.21813403504074, -123.0323579555765 49.21812504318451, -123.0323535867771 49.21811596039306, -123.0323505774884 49.21810804739305, -123.0323468757067 49.21809896494771, -123.0323434207364 49.21808997217492, -123.0323418901723 49.21808602396944, -123.0323410660555 49.2180849382826, -123.0323351122241 49.21807099863273, -123.0323312619821 49.21806200578687, -123.0323271702227 49.2180520243695, -123.032323240346 49.21804303203315, -123.032319350261 49.21803403989111, -123.0323150981854 49.21802396847864, -123.0323110077254 49.21801497622445, -123.0323069685673 49.21800616915491, -123.032301651433 49.21799470183543, -123.0322961000432 49.21798208939664))",0,0
Cardero Park,Local,Park,"POLYGON ((-123.1278049856528 49.29272001180983, -123.1274929806764 49.29261900129944, -123.1272450507485 49.29278304312444, -123.1271899580419 49.29274704031621, -123.1284830205602 49.29189097401316, -123.128773019682 49.29207798226776, -123.1278049856528 49.29272001180983))",0,0
Cariboo Park,Local,Park,"POLYGON ((-123.0298869730583 49.24435296056556, -123.0276790204805 49.24434199985156, -123.0276599751748 49.24431898081878, -123.0280660032737 49.24390203924885, -123.0285449952961 49.24409698800305, -123.0289510034771 49.24366196607958, -123.0301000524466 49.24412995883996, -123.0298869730583 49.24435296056556))",0,0
Carleton Park,Local,Park,"POLYGON ((-123.0299389917941 49.24175897972874, -123.030010945228 49.24178800994265, -123.0303469614083 49.24143403149669, -123.0311740439215 49.24177196339029, -123.0308630515378 49.24210003649352, -123.0308979528508 49.24211504549429, -123.0305560513832 49.24247901003848, -123.0296230136349 49.24209802284904, -123.0299389917941 49.24175897972874))",0,0
Carnarvon Park,Local,Park,"POLYGON ((-123.1729811516731 49.25755615586254, -123.172707652772 49.25755209884059, -123.1704932690257 49.25751804014882, -123.1702217070767 49.25699642321435, -123.1702375576862 49.25560738200245, -123.1727270515336 49.2556180991464, -123.1730005309592 49.25561944835116, -123.1729811516731 49.25755615586254))",1,1
Carolina Park,Local,Playground,"POLYGON ((-123.090988130423 49.26664148929415, -123.0908492994204 49.26664025003507, -123.0908504650864 49.26657548430273, -123.0907124583868 49.26657442381347, -123.090718015246 49.2662398012486, -123.0908561575249 49.26624085280245, -123.0909943003116 49.26624209335041, -123.090988130423 49.26664148929415))",0,0
Mccleery Park,Local,Park,"POLYGON ((-123.1638949825754 49.22715504813617, -123.1639029548894 49.22696302740701, -123.1639249811743 49.22643202370609, -123.1639310101293 49.22644001895283, -123.1639379450625 49.22644801370907, -123.1639439726514 49.22645600891882, -123.1639500016127 49.22646400416422, -123.163956034617 49.2264729894569, -123.163962968189 49.22648098417513, -123.1639689971568 49.22648897941909, -123.1639760460706 49.22649697356699, -123.1639819610761 49.22650496941536, -123.163989008624 49.22651296352615, -123.1639959449921 49.22652104749075, -123.1640019725455 49.22652904359566, -123.164009021471 49.22653703774097, -123.164015956487 49.22654503159164, -123.1640230040469 49.22655302569975, -123.1640300516092 49.22656101980726, -123.1640369865775 49.22656901455564, -123.1640450541451 49.22657700666632, -123.1640519891184 49.22658500141361, -123.1640590339629 49.22659200640662, -123.1640659689958 49.22660000025346, -123.1640740351484 49.22660799322489, -123.1640809674582 49.22661499795841, -123.1640890349864 49.22662299096458, -123.1640969886054 49.22663098367622, -123.1641040334637 49.22663798866584, -123.1641119870878 49.22664598137613, -123.1641200546267 49.22665397437962, -123.1641280055273 49.22666097797647, -123.1641359591594 49.22666897068479, -123.1641440239771 49.22667597457415, -123.1641519776146 49.2266839672811, -123.1641600424922 49.22669097026972, -123.164167996135 49.22669896297531, -123.1641769656284 49.22670596543444, -123.1641850305136 49.22671296842103, -123.1641929841095 49.22672096202377, -123.1642019550363 49.22672796361741, -123.1642100185038 49.22673496746511, -123.1642189880654 49.22674196902116, -123.1642270556394 49.2267499620154, -123.164236026522 49.2267569645052, -123.1642449960918 49.22676396605881, -123.1642539656093 49.22677096851089, -123.1642630490969 49.22677797035656, -123.1642720199904 49.22678497284301, -123.1642799709362 49.22679197642739, -123.1642899604698 49.22679897687818, -123.1642990425979 49.22680597868446, -123.1643080135021 49.22681298116766, -123.1643169830936 49.22681998271465, -123.1643259540033 49.2268269851962, -123.1643360560934 49.22683398590006, -123.1643450229595 49.22683999833266, -123.1643550125132 49.22684699877703, -123.1643639820634 49.22685400121909, -123.1643739688886 49.22686001254976, -123.1643830524118 49.22686701438435, -123.1643930419221 49.2268740157242, -123.164403027385 49.22688002701592, -123.1644130169561 49.22688702745454, -123.1644219838423 49.22689303988027, -123.1644319733641 49.22690004121623, -123.1644419588481 49.22690596242798, -123.1644519484306 49.22691296286259, -123.1644620478223 49.22691897444201, -123.1644720346743 49.226924985763, -123.1644830401117 49.22693099594645, -123.1644930283353 49.22693799634099, -123.1645030151953 49.22694400765895, -123.1645130006875 49.22695001893987, -123.1645240061361 49.22695602911892, -123.1645339930041 49.22696204043386, -123.1645449984685 49.22696796053443, -123.1645560066637 49.22697495982166, -123.1645659921694 49.22698097109735, -123.1645769976871 49.2269869803714, -123.1645880031528 49.2269929905436, -123.1645990086213 49.22699900071456, -123.1646100140927 49.22700501088445, -123.1646210168822 49.22701003104217, -123.1646320223591 49.22701604120969, -123.1646430278488 49.22702196129977, -123.1646540333862 49.22702797056559, -123.1646660547162 49.22703299047973, -123.1646769462911 49.22703900034909, -123.164687951782 49.22704501051069, -123.164699973175 49.22705002952159, -123.1647109787264 49.2270560387813, -123.1647219801236 49.22706096971546, -123.1647340055818 49.22706697876934, -123.1647460269854 49.22707199777494, -123.164757032548 49.2270780070298, -123.164769053902 49.22708302693203, -123.1647800553568 49.227088047037, -123.1647919669261 49.22709396571482, -123.164803988343 49.22709898471375, -123.1648160097075 49.2271040046106, -123.1648280311295 49.22710902360684, -123.1648390339673 49.22711404374159, -123.1648510553492 49.22711897355826, -123.1648629628656 49.22712399225744, -123.1648749842429 49.22712901214755, -123.1648880256905 49.22713402913323, -123.1649000470828 49.22713895894445, -123.1649119546096 49.22714397763801, -123.1649239759974 49.22714899752251, -123.1649359946965 49.22715302739501, -123.1649480161442 49.2271580463774, -123.1649610561919 49.22716297414126, -123.1649729609844 49.22716700371661, -123.1638949825754 49.22715504813617))",0,0
Mcgill Park,Local,Park,"POLYGON ((-123.0567034655659 49.28885076008375, -123.0567085666417 49.28851612866197, -123.05754192605 49.28851841355611, -123.0576617058286 49.28851873780665, -123.0576538601971 49.28885336184685, -123.0575354426063 49.28885304591089, -123.0567034655659 49.28885076008375))",0,0
Mcspadden Park,Local,Park,"POLYGON ((-123.0670460242381 49.2670130272804, -123.0668019920726 49.26701101018753, -123.0659690200095 49.26700501350224, -123.0659999871206 49.26540804281348, -123.0675579771913 49.26542000320132, -123.0675530221882 49.2656930445426, -123.0673430010929 49.26569199773549, -123.067331985358 49.26626002596195, -123.0672069678225 49.26625901905252, -123.0670580481917 49.26635101816296, -123.0670560471384 49.26646397600812, -123.0670460242381 49.2670130272804))",0,0
Melbourne Park,Local,Park,"POLYGON ((-123.0296620296029 49.2363110223217, -123.0290849912963 49.23685104387155, -123.0283329898237 49.23650597302205, -123.0289079931702 49.23596703495998, -123.0296620296029 49.2363110223217))",0,0
Memorial South Park,Local,Park,"MULTIPOLYGON (((-123.0828270253556 49.22930498294166, -123.0828329532624 49.22912502038215, -123.0844039754278 49.22914402837841, -123.084399979362 49.22932497902671, -123.0844829996382 49.22932599701284, -123.0844840206786 49.22932698577816, -123.0846540232447 49.22932901968515, -123.0848240259905 49.22933096324852, -123.0849940288684 49.22933299212338, -123.0849950481981 49.2293330025657, -123.085270042638 49.22933603176262, -123.0852709511477 49.22933702018042, -123.0854409539486 49.2293389627716, -123.0856109566004 49.22934099517069, -123.0857809606376 49.22934302733887, -123.0858649995568 49.22934404476729, -123.0863739915806 49.22935103952515, -123.0866500046206 49.22935398102456, -123.0866510246847 49.22935397976067, -123.0869059749549 49.22935801527508, -123.087161035573 49.22936097040356, -123.0872440559176 49.22936198716413, -123.0874149647658 49.22936401687443, -123.0875849675956 49.22936604616278, -123.0877539519054 49.22936798641881, -123.0876539709229 49.23271100870465, -123.08271198695 49.23264801126071, -123.0828270253556 49.22930498294166)), ((-123.0858679700767 49.22916300435137, -123.0863789987541 49.22916999833601, -123.086377003296 49.22926002371438, -123.0858669946968 49.22925401847356, -123.0858679700767 49.22916300435137)))",0,0
Memorial West Park,Local,Park,"POLYGON ((-123.1907580284784 49.24420698340973, -123.1881359570501 49.24419401621826, -123.1853760069838 49.24418004110545, -123.1853990083977 49.2424559670228, -123.1881539873661 49.24246896076968, -123.1907719990854 49.24248103532003, -123.1907580284784 49.24420698340973))",1,1
Moberly Park,Local,Park,"POLYGON ((-123.0853569980372 49.21636796864792, -123.0853679846696 49.21518604093253, -123.0832870477371 49.2151370175751, -123.0832929854781 49.21476198630206, -123.0877549996565 49.21486696366075, -123.0877159454024 49.21640703206136, -123.0853569980372 49.21636796864792))",1,1
Montgomery Park,Local,Park,"POLYGON ((-123.1319049561902 49.23212998119349, -123.1289760283432 49.23203004420917, -123.1290340194067 49.23033399894091, -123.1319649985681 49.23043402173784, -123.1319049561902 49.23212998119349))",5,5
Morton Park,Local,Park,"MULTIPOLYGON (((-123.14152104535 49.28756901265977, -123.1418089641041 49.28737800118633, -123.1422740484762 49.28767798713566, -123.1423129679839 49.28808102086821, -123.14152104535 49.28756901265977)), ((-123.1420029456585 49.28724897863116, -123.1422090345694 49.28711202583687, -123.142219022008 49.28711498146309, -123.1422479827435 49.28740695946825, -123.1420029456585 49.28724897863116)))",0,0
Mosaic Creek Park,Local,Park,"POLYGON ((-123.074323025647 49.27349503922459, -123.0739040460987 49.27349099092299, -123.0739079680219 49.27315697453433, -123.0743260376098 49.27316102345938, -123.074323025647 49.27349503922459))",0,0
Cartier Park,Local,Park,"POLYGON ((-123.0977890424438 49.23797904292399, -123.0971610080863 49.23796698187486, -123.0971880284555 49.23724703622633, -123.0978150329867 49.23725900842619, -123.0977890424438 49.23797904292399))",0,0
Cathedral Square Park,Local,Park,"POLYGON ((-123.1142219623637 49.28237103184976, -123.1135149854397 49.28283902284452, -123.113157987673 49.28260698518564, -123.1138649646622 49.28213899636379, -123.1142219623637 49.28237103184976))",0,0
Cedar Cottage Park,Local,Park,"POLYGON ((-123.0773500331822 49.26094604402934, -123.0755920371627 49.26093200798978, -123.0755990076212 49.26059798981878, -123.0773339843125 49.26061204032284, -123.0773500331822 49.26094604402934))",0,0
Chaldecott Park,Local,Park,"POLYGON ((-123.193470976264 49.24990699056804, -123.190984009133 49.2498960188364, -123.1910019726211 49.24817896907992, -123.1934879516458 49.24819102049614, -123.193470976264 49.24990699056804))",0,0
